"V1","trimed_address","lon","lat","id_name","Acceptance","Accessibility","Annual meeting","Asking price","Back garden","Balcony/roof garden","Bathroom facilities","Building insurance","Building type","CH boiler","Capacity","Construction period","Energy label","Exterior space attached to the building","External storage space","Facilities","Front garden","Garden","Garden location","HILLEGERSBERG C 6550","Heating","Hot water","Insulation","Kind of house","Listed since","Living area","Located at","Location","Maintenance plan","Number of bath rooms","Number of residential layers (stories)","Number of rooms","OVERSCHIE B 7259","Original asking price","Other space inside the building","Patio/atrium","Periodic contribution","Plot size","Provisional energy label","Quality marks","ROTTERDAM S 4556","Registration with KvK","Reserve fund present","Service charges","Shed / storage","Specific","Status","Sun terrace","Type apartment","Type of garage","Type of parking facilities","Type of property","Type of roof","VVE (Owners Association) contribution","Volume in cubic meters","Year of construction","ROTTERDAM C 6538"
"                Francis Picabiastraat 35                                    3059 RP Rotterdam                            ","Francis Picabiastraat 35 3059 RP Rotterdam",4.5909627,51.976123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Van der Duijn van Maasdamweg 418                                    3045 PE Rotterdam                            ","Van der Duijn van Maasdamweg 418 3045 PE Rotterdam",4.448464,51.9473411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Bessie Smithstraat 16                                    3069 XP Rotterdam                            ","Bessie Smithstraat 16 3069 XP Rotterdam",4.5714931,51.970067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Lindenhof 6                                    3059 MJ Rotterdam                            ","Lindenhof 6 3059 MJ Rotterdam",4.5812599,51.9760902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Theo Laseromsstraat 10                                    3056 PE Rotterdam                            ","Theo Laseromsstraat 10 3056 PE Rotterdam",4.5052345,51.9494518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Meekrapstraat 25                                    3073 DL Rotterdam                            ","Meekrapstraat 25 3073 DL Rotterdam",4.4984495,51.8900686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Bergpolderplein 4                                    3051 GA Rotterdam                            ","Bergpolderplein 4 3051 GA Rotterdam",4.4759544,51.9449074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Lissabonerf 7                                    3067 ZP Rotterdam                            ","Lissabonerf 7 3067 ZP Rotterdam",4.5616706,51.9470865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Gerrit Verrijstkade 36                                    3059 SK Rotterdam                            ","Gerrit Verrijstkade 36 3059 SK Rotterdam",4.5923539,51.9914137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"                Arent van 's-Gravesandestraat 94                                    3067 KA Rotterdam                            ","Arent van 's-Gravesandestraat 94 3067 KA Rotterdam",4.5367716,51.9445045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
